species,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
Tree shrew,TRIM4li1,0,1.782678757,0.637,0.236,0,endothelial
Tree shrew,KLF2,0,1.779266225,0.583,0.153,0,endothelial
Tree shrew,TJP1,0,1.777326005,0.636,0.225,0,endothelial
Tree shrew,ITGA2,0,1.731569782,0.736,0.361,0,endothelial
Tree shrew,HGF,0,1.721164191,0.409,0.031,0,endothelial
Tree shrew,FMO2li1,0,1.711225735,0.575,0.087,0,endothelial
Tree shrew,FKBP5,0,1.705699261,0.727,0.252,0,endothelial
Tree shrew,SELENOP,0,1.705347336,0.904,0.653,0,endothelial
Tree shrew,TCIM,0,1.686995736,0.415,0.031,0,endothelial
Tree shrew,S100A13,0,1.683898102,0.694,0.323,0,endothelial
Tree shrew,UTRN,0,1.656271057,0.753,0.49,0,endothelial
Tree shrew,MSN,0,1.651751,0.674,0.218,0,endothelial
Tree shrew,RARB,0,1.65148591,0.432,0.038,0,endothelial
Tree shrew,UPP1,0,1.635253976,0.467,0.042,0,endothelial
Tree shrew,ANXA2,0,1.626100666,0.745,0.327,0,endothelial
Tree shrew,COL13A1,0,1.626030368,0.435,0.024,0,endothelial
Tree shrew,BMPR2,0,1.622908881,0.583,0.222,0,endothelial
Tree shrew,COL4A2,0,1.611498534,0.459,0.048,0,endothelial
Tree shrew,FKBP1A,0,1.601595231,0.813,0.546,0,endothelial
Tree shrew,LAPTM4B,0,1.591156191,0.566,0.194,0,endothelial
Tree shrew,ID3,0,1.590864169,0.755,0.297,0,endothelial
Tree shrew,ARHGAP29,0,1.587936176,0.483,0.061,0,endothelial
Tree shrew,PRDM4,0,1.586563482,0.448,0.117,0,endothelial
Tree shrew,LIMCH1,0,1.57772166,0.592,0.232,0,endothelial
Tree shrew,CDC42EP3,0,1.570631313,0.495,0.121,0,endothelial
Tree shrew,TMEM176B,0,1.570162492,0.755,0.473,0,endothelial
Tree shrew,YWHAHli1,0,1.566032168,0.6,0.278,0,endothelial
Tree shrew,CLIC4,0,1.564169652,0.536,0.129,0,endothelial
Tree shrew,DLL4,0,1.558352998,0.412,0.032,0,endothelial
Tree shrew,LIFR,0,1.557880711,0.451,0.107,0,endothelial
Tree shrew,GGTA1,0,1.55536514,0.571,0.162,0,endothelial
Tree shrew,SEC14L1,0,1.554347044,0.718,0.428,0,endothelial
Tree shrew,HEG1,0,1.542603426,0.539,0.197,0,endothelial
Tree shrew,DDIT4,0,1.542263196,0.698,0.333,0,endothelial
Tree shrew,JCAD,0,1.533364413,0.493,0.132,0,endothelial
Tree shrew,CYYR1,0,1.520220448,0.418,0.022,0,endothelial
Tree shrew,CALM1li2,0,1.514162114,0.94,0.845,0,endothelial
Tree shrew,MT2,0,1.513564897,0.838,0.543,0,endothelial
Tree shrew,AHNAK,0,1.505972742,0.688,0.24,0,endothelial
Tree shrew,HES1,0,1.502622475,0.578,0.305,0,endothelial
Tree shrew,MT3,0,1.498166682,0.9,0.66,0,endothelial
Tree shrew,CDH5,0,1.495755159,0.427,0.03,0,endothelial
Tree shrew,TMEM204,0,1.493249188,0.434,0.037,0,endothelial
Tree shrew,ANGPTL4li1,0,1.491609094,0.461,0.194,0,endothelial
Tree shrew,ITGA9,0,1.490301704,0.465,0.089,0,endothelial
Tree shrew,MACF1,0,1.465031422,0.666,0.396,0,endothelial
Tree shrew,FKBP11,0,1.445295177,0.477,0.158,0,endothelial
Tree shrew,DNM3,0,1.432244339,0.34,0.043,0,endothelial
Tree shrew,PLAU,0,1.432004995,0.41,0.064,0,endothelial
Tree shrew,CHTOP,0,1.425764023,0.642,0.404,0,endothelial
Tree shrew,SFRP1,0,1.417895534,0.638,0.334,0,endothelial
Tree shrew,SEMA3F,0,1.412503245,0.418,0.042,0,endothelial
Tree shrew,SOX18,0,1.408109329,0.375,0.022,0,endothelial
Tree shrew,GJC3,0,1.402190411,0.413,0.038,0,endothelial
Tree shrew,TMEM47li1,0,1.400900317,0.439,0.18,0,endothelial
Tree shrew,CRIM1,0,1.399262502,0.444,0.116,0,endothelial
Tree shrew,FMNL2,0,1.390489007,0.476,0.164,0,endothelial
Tree shrew,KLF7,0,1.38803695,0.415,0.07,0,endothelial
Tree shrew,FRMD4B,0,1.384629831,0.431,0.082,0,endothelial
Tree shrew,ITPRIP,0,1.381812655,0.442,0.086,0,endothelial
Tree shrew,CABLES1li1,0,1.377301546,0.387,0.071,0,endothelial
Tree shrew,IFITM2,0,1.37372802,0.556,0.136,0,endothelial
Tree shrew,FCGRT,0,1.370230234,0.532,0.131,0,endothelial
Tree shrew,NRP2,0,1.359240539,0.431,0.067,0,endothelial
Tree shrew,ADGRL2,0,1.359227906,0.507,0.205,0,endothelial
Tree shrew,SH2D3C,0,1.357746727,0.438,0.065,0,endothelial
Tree shrew,RHOB,0,1.354135431,0.767,0.481,0,endothelial
Tree shrew,NCOA3,0,1.353793629,0.476,0.158,0,endothelial
Tree shrew,STC2,0,1.343337681,0.315,0.02,0,endothelial
Tree shrew,OSMR,0,1.341223348,0.411,0.065,0,endothelial
Tree shrew,HOXB3,0,1.337591118,0.436,0.098,0,endothelial
Tree shrew,CRIP2,0,1.335242209,0.441,0.075,0,endothelial
Tree shrew,ZBTB16,0,1.334203551,0.616,0.211,0,endothelial
Tree shrew,GATA6,0,1.332526756,0.498,0.224,0,endothelial
Tree shrew,MMD,0,1.329172189,0.46,0.162,0,endothelial
Tree shrew,HSPB1,0,1.327691255,0.75,0.476,0,endothelial
Tree shrew,CCM2L,0,1.326251962,0.378,0.035,0,endothelial
Tree shrew,RAPH1,0,1.321163194,0.382,0.054,0,endothelial
Tree shrew,FERMT2,0,1.319790698,0.575,0.282,0,endothelial
Tree shrew,CCDC85B,0,1.319771821,0.516,0.225,0,endothelial
Tree shrew,RAI14,0,1.310756566,0.385,0.047,0,endothelial
Tree shrew,TBXA2R,0,1.306112215,0.381,0.03,0,endothelial
Tree shrew,KLF9,0,1.305425236,0.603,0.294,0,endothelial
Tree shrew,TLR4,0,1.304302299,0.487,0.123,0,endothelial
Tree shrew,SEMA3D,0,1.303410834,0.434,0.11,0,endothelial
Tree shrew,ASAP1,0,1.303385154,0.472,0.172,0,endothelial
Tree shrew,EXOC3L2,0,1.300800506,0.365,0.021,0,endothelial
Tree shrew,ADAMTS1,0,1.298444297,0.362,0.052,0,endothelial
Tree shrew,TPM4,0,1.290034129,0.636,0.368,0,endothelial
Tree shrew,GPM6A,0,1.288065,0.355,0.021,0,endothelial
Tree shrew,DAPK2,0,1.284299961,0.347,0.029,0,endothelial
Tree shrew,NSA2li30,0,1.277304288,0.292,0.084,0,endothelial
Tree shrew,RHOJ,0,1.274726488,0.36,0.03,0,endothelial
Tree shrew,IRX3,0,1.273563346,0.336,0.038,0,endothelial
Tree shrew,CASTOR1,0,1.2642137,0.425,0.125,0,endothelial
Tree shrew,CD300LG,0,1.26333591,0.314,0.018,0,endothelial
Tree shrew,PPP2R5A,0,1.262470486,0.525,0.25,0,endothelial
Tree shrew,RGS2,0,1.260413915,0.657,0.386,0,endothelial
Tree shrew,ID1,0,1.259505572,0.404,0.109,0,endothelial
Tree shrew,ACER2,0,1.258782273,0.353,0.054,0,endothelial
Tree shrew,TP53INP2,0,1.25812799,0.495,0.395,0,endothelial
Tree shrew,PTPRM,0,1.251287001,0.37,0.05,0,endothelial
Tree shrew,RASGRP3,0,1.246102057,0.334,0.025,0,endothelial
Tree shrew,EFNA1,0,1.245543019,0.441,0.142,0,endothelial
Tree shrew,ITGB1,0,1.241248858,0.713,0.495,0,endothelial
Tree shrew,SASH1,0,1.238113727,0.533,0.263,0,endothelial
Tree shrew,RASAL2,0,1.233900741,0.433,0.102,0,endothelial
Tree shrew,THY1,0,1.228856141,0.44,0.082,0,endothelial
Tree shrew,SOX17,0,1.228837359,0.283,0.019,0,endothelial
Tree shrew,TACC1li1,0,1.21966817,0.413,0.112,0,endothelial
Tree shrew,SETD7,0,1.216633473,0.448,0.171,0,endothelial
Tree shrew,FAM107Ali1,0,1.215703134,0.327,0.018,0,endothelial
Tree shrew,ANXA5,0,1.210842202,0.675,0.416,0,endothelial
Tree shrew,PDK4,0,1.206835451,0.645,0.371,0,endothelial
Tree shrew,TMEM26,0,1.203340514,0.355,0.041,0,endothelial
Tree shrew,SDC4,0,1.201388828,0.515,0.189,0,endothelial
Tree shrew,DGKH,0,1.195057539,0.378,0.101,0,endothelial
Tree shrew,JAM3,0,1.194131335,0.381,0.071,0,endothelial
Tree shrew,PRCP,0,1.193998168,0.429,0.134,0,endothelial
Tree shrew,SNX9li1,0,1.188670045,0.544,0.301,0,endothelial
Tree shrew,TIE1,0,1.188406906,0.336,0.019,0,endothelial
Tree shrew,FLT4,0,1.185048584,0.329,0.022,0,endothelial
Tree shrew,IGFBP7,0,1.179764088,0.58,0.223,0,endothelial
Tree shrew,MYCT1,0,1.179666925,0.332,0.015,0,endothelial
Tree shrew,RAB13,0,1.177435821,0.57,0.375,0,endothelial
Tree shrew,PEA15,0,1.177150063,0.553,0.262,0,endothelial
Tree shrew,B2M,0,1.174964509,0.972,0.902,0,endothelial
Tree shrew,TYMS,0,1.171205719,0.367,0.058,0,endothelial
Tree shrew,TCF7L1,0,1.168994616,0.341,0.028,0,endothelial
Tree shrew,DYSF,0,1.165168862,0.331,0.019,0,endothelial
Tree shrew,CNN3li2,0,1.157473363,0.732,0.481,0,endothelial
Tree shrew,PARVB,0,1.153766117,0.376,0.081,0,endothelial
Tree shrew,PTGES,0,1.150943071,0.361,0.064,0,endothelial
Tree shrew,PLPP1,0,1.150766772,0.599,0.369,0,endothelial
Tree shrew,ZCCHC24,0,1.145830617,0.475,0.215,0,endothelial
Tree shrew,SEMA6A,0,1.14530274,0.339,0.047,0,endothelial
Tree shrew,TAGLN2,0,1.136764651,0.542,0.233,0,endothelial
Tree shrew,HLA-B,0,1.13654591,0.523,0.207,0,endothelial
Tree shrew,1A01li1,0,1.135861451,0.913,0.702,0,endothelial
Tree shrew,SRGN,0,1.129851836,0.864,0.382,0,endothelial
Tree shrew,ZEB1,0,1.129752551,0.466,0.202,0,endothelial
Tree shrew,1A01li6,0,1.126095619,0.517,0.225,0,endothelial
Tree shrew,RPS6KA3,0,1.124313518,0.485,0.267,0,endothelial
Tree shrew,HES2,0,1.109286624,0.284,0.013,0,endothelial
Tree shrew,FZD4,0,1.10618325,0.341,0.05,0,endothelial
Tree shrew,INPP1,0,1.102180611,0.388,0.135,0,endothelial
Tree shrew,TM4SF18,0,1.099770617,0.295,0.014,0,endothelial
Tree shrew,MINDY2,0,1.099331633,0.5,0.262,0,endothelial
Tree shrew,BCL6B,0,1.098490589,0.284,0.02,0,endothelial
Tree shrew,STAB1,0,1.096419839,0.325,0.039,0,endothelial
Tree shrew,RBMS2,0,1.095459161,0.361,0.088,0,endothelial
Tree shrew,ORAI1,0,1.094576866,0.397,0.118,0,endothelial
Tree shrew,TAL1,0,1.093283419,0.262,0.012,0,endothelial
Tree shrew,CD99,0,1.08428942,0.471,0.138,0,endothelial
Tree shrew,SMTN,0,1.07828429,0.321,0.034,0,endothelial
Tree shrew,CYP26B1,0,1.073123082,0.186,0.011,0,endothelial
Tree shrew,CPNE8,0,1.072552963,0.326,0.039,0,endothelial
Tree shrew,RNASE4,0,1.071340157,0.475,0.109,0,endothelial
Tree shrew,KIAA0355,0,1.064769124,0.437,0.194,0,endothelial
Tree shrew,ULK2,0,1.061236553,0.494,0.247,0,endothelial
Tree shrew,LGALS9,0,1.059056921,0.387,0.087,0,endothelial
Tree shrew,SLCO2A1,0,1.058924553,0.265,0.018,0,endothelial
Tree shrew,CS012,0,1.050408204,0.365,0.107,0,endothelial
Tree shrew,OSBPL1A,0,1.045197584,0.353,0.091,0,endothelial
Tree shrew,PSMB9,0,1.044794533,0.539,0.204,0,endothelial
Tree shrew,KCTD12li5,0,1.044707609,0.397,0.136,0,endothelial
Tree shrew,RBMS3li1,0,1.041968737,0.35,0.049,0,endothelial
Tree shrew,CCDC50,0,1.036658586,0.634,0.381,0,endothelial
Tree shrew,CDA,0,1.036451412,0.291,0.017,0,endothelial
Tree shrew,CMTM1,0,1.035497113,0.455,0.217,0,endothelial
Tree shrew,PTPRG,0,1.034015398,0.429,0.249,0,endothelial
Tree shrew,EPHB4,0,1.033019215,0.293,0.018,0,endothelial
Tree shrew,TMEM98,0,1.029474045,0.462,0.241,0,endothelial
Tree shrew,GRB10,0,1.029037513,0.288,0.048,0,endothelial
Tree shrew,NRP1,0,1.028934686,0.289,0.045,0,endothelial
Tree shrew,LORF2li312,0,1.028497575,0.427,0.292,0,endothelial
Tree shrew,TNFSF10,0,1.026202038,0.344,0.065,0,endothelial
Tree shrew,SMAD4,0,1.024437758,0.468,0.274,0,endothelial
Tree shrew,SERINC3,0,1.019456712,0.691,0.534,0,endothelial
Tree shrew,NFIB,0,1.014274462,0.569,0.36,0,endothelial
Tree shrew,PCDH12,0,1.013695402,0.284,0.013,0,endothelial
Tree shrew,PTPN14,0,1.01257791,0.327,0.094,0,endothelial
Tree shrew,SOCS5,0,1.010658246,0.433,0.23,0,endothelial
Tree shrew,ARHGEF15,0,1.010494506,0.279,0.015,0,endothelial
Tree shrew,APBB2,0,1.010443871,0.567,0.266,0,endothelial
Tree shrew,MGAT4B,0,1.00746675,0.435,0.21,0,endothelial
Tree shrew,NTAN1li1,0,1.003251244,0.53,0.29,0,endothelial
Tree shrew,EMID1,0,1.000342417,0.288,0.032,0,endothelial
Tree shrew,SELP,0,0.996732728,0.255,0.018,0,endothelial
Tree shrew,FAM171A1,0,0.992195229,0.269,0.029,0,endothelial
Tree shrew,PNP,0,0.991088142,0.408,0.139,0,endothelial
Tree shrew,STC1,0,0.987820859,0.205,0.02,0,endothelial
Tree shrew,FAM107B,0,0.984326658,0.615,0.326,0,endothelial
Tree shrew,CDC42EP1,0,0.982201501,0.374,0.117,0,endothelial
Tree shrew,MSRB3,0,0.976114998,0.29,0.027,0,endothelial
Tree shrew,SERPINH1,0,0.975948121,0.431,0.21,0,endothelial
Tree shrew,SPTAN1,0,0.975513332,0.405,0.175,0,endothelial
Tree shrew,NUP93,0,0.964437362,0.332,0.111,0,endothelial
Tree shrew,NMT2li1,0,0.961596808,0.273,0.035,0,endothelial
Tree shrew,CAV2,0,0.958255226,0.312,0.087,0,endothelial
Tree shrew,NR2F1,0,0.95507085,0.222,0.038,0,endothelial
Tree shrew,ARL4Ali1,0,0.950010032,0.345,0.143,0,endothelial
Tree shrew,HIF3A,0,0.947386545,0.32,0.061,0,endothelial
Tree shrew,PLXND1,0,0.945687547,0.336,0.09,0,endothelial
Tree shrew,LIMS2,0,0.943873176,0.284,0.031,0,endothelial
Tree shrew,CLEC2L,0,0.943050739,0.294,0.076,0,endothelial
Tree shrew,DTNBP1,0,0.940777206,0.309,0.083,0,endothelial
Tree shrew,AOPEP,0,0.938597302,0.475,0.291,0,endothelial
Tree shrew,NEDD4li1,0,0.936181452,0.276,0.037,0,endothelial
Tree shrew,CAVIN1,0,0.932972846,0.295,0.036,0,endothelial
Tree shrew,ITM2B,0,0.930912072,0.892,0.829,0,endothelial
Tree shrew,ROBO4,0,0.930448302,0.257,0.017,0,endothelial
Tree shrew,ADAMTS9,0,0.928059482,0.372,0.172,0,endothelial
Tree shrew,PDE7B,0,0.927880781,0.246,0.023,0,endothelial
Tree shrew,NUMB,0,0.923918733,0.354,0.135,0,endothelial
Tree shrew,SULF2,0,0.923822199,0.309,0.082,0,endothelial
Tree shrew,SLK,0,0.923526851,0.453,0.286,0,endothelial
Tree shrew,POMP,0,0.918517536,0.695,0.561,0,endothelial
Tree shrew,PCDH17,0,0.917888661,0.292,0.053,0,endothelial
Tree shrew,NCKAP1,0,0.91034872,0.447,0.273,0,endothelial
Tree shrew,SNRKli1,0,0.896644508,0.43,0.252,0,endothelial
Tree shrew,GPIHBP1,0,0.893472726,0.263,0.041,0,endothelial
Tree shrew,FSCN1,0,0.887627123,0.263,0.04,0,endothelial
Tree shrew,PPIP5K2,0,0.88580217,0.348,0.194,0,endothelial
Tree shrew,SMOC1,0,0.88388403,0.242,0.017,0,endothelial
Tree shrew,MAPK3,0,0.881605694,0.401,0.19,0,endothelial
Tree shrew,NRARP,0,0.880102633,0.234,0.014,0,endothelial
Tree shrew,PLSCR4,0,0.879647182,0.349,0.107,0,endothelial
Tree shrew,ACTN1,0,0.878468549,0.309,0.08,0,endothelial
Tree shrew,TP53INP1,0,0.877606581,0.484,0.247,0,endothelial
Tree shrew,SYPL1,0,0.873481951,0.484,0.329,0,endothelial
Tree shrew,C1QTNF5,0,0.872824432,0.264,0.041,0,endothelial
Tree shrew,RAP1A,0,0.871749953,0.59,0.405,0,endothelial
Tree shrew,ARHGAP26,0,0.87071342,0.365,0.12,0,endothelial
Tree shrew,PTTG1IP,0,0.869599441,0.513,0.35,0,endothelial
Tree shrew,STOX2,0,0.862105384,0.254,0.053,0,endothelial
Tree shrew,SELENOM,0,0.861622303,0.525,0.335,0,endothelial
Tree shrew,ACADL,0,0.858654518,0.308,0.077,0,endothelial
Tree shrew,GRASP,0,0.857683083,0.289,0.053,0,endothelial
Tree shrew,XDH,0,0.855855484,0.208,0.016,0,endothelial
Tree shrew,ARAP3,0,0.85525147,0.247,0.025,0,endothelial
Tree shrew,PPM1F,0,0.85424955,0.272,0.056,0,endothelial
Tree shrew,FNBP1L,0,0.852830241,0.455,0.284,0,endothelial
Tree shrew,MYO6,0,0.852813617,0.373,0.209,0,endothelial
Tree shrew,EGLN3,0,0.85268483,0.228,0.046,0,endothelial
Tree shrew,ZNF366,0,0.846876825,0.234,0.018,0,endothelial
Tree shrew,CTNND1,0,0.846309915,0.381,0.202,0,endothelial
Tree shrew,PBX1,0,0.84504794,0.456,0.312,0,endothelial
Tree shrew,GPRC5B,0,0.843749635,0.248,0.027,0,endothelial
Tree shrew,C1ORF54,0,0.843098987,0.217,0.02,0,endothelial
Tree shrew,HSP90B1li3,0,0.841055186,0.807,0.713,0,endothelial
Tree shrew,SCPEP1,0,0.840233207,0.5,0.338,0,endothelial
Tree shrew,ETS1,0,0.838494646,0.408,0.119,0,endothelial
Tree shrew,ADAM10,0,0.83782191,0.391,0.222,0,endothelial
Tree shrew,RBMS1,0,0.837035836,0.439,0.233,0,endothelial
Tree shrew,INKA1,0,0.836461646,0.228,0.022,0,endothelial
Tree shrew,SKI,0,0.835290252,0.374,0.171,0,endothelial
Tree shrew,CASKIN2,0,0.834311486,0.319,0.131,0,endothelial
Tree shrew,CTSLli3,0,0.83395059,0.651,0.418,0,endothelial
Tree shrew,RCAN1,0,0.833388864,0.399,0.171,0,endothelial
Tree shrew,RASGRF2,0,0.832732779,0.226,0.012,0,endothelial
Tree shrew,CPE,0,0.832594597,0.371,0.121,0,endothelial
Tree shrew,N4BP1,0,0.830769286,0.392,0.231,0,endothelial
Tree shrew,RIPOR1,0,0.827872123,0.299,0.094,0,endothelial
Tree shrew,CD93,0,0.822590725,0.207,0.015,0,endothelial
Tree shrew,LRCH1,0,0.82207241,0.295,0.096,0,endothelial
Tree shrew,CTTNBP2NL,0,0.817726376,0.274,0.065,0,endothelial
Tree shrew,LRP5,0,0.817499511,0.296,0.107,0,endothelial
Tree shrew,CSRP1,0,0.817269163,0.368,0.134,0,endothelial
Tree shrew,PEAR1,0,0.816173353,0.247,0.02,0,endothelial
Tree shrew,SPTBN5,0,0.814572556,0.251,0.054,0,endothelial
Tree shrew,OCC1,0,0.811431521,0.284,0.072,0,endothelial
Tree shrew,PNRC2,0,0.809596703,0.514,0.378,0,endothelial
Tree shrew,NSG1,0,0.808339258,0.365,0.135,0,endothelial
Tree shrew,RBPMS2,0,0.808179879,0.245,0.028,0,endothelial
Tree shrew,FMNL3,0,0.807814713,0.268,0.057,0,endothelial
Tree shrew,PDLIM5,0,0.807677789,0.304,0.137,0,endothelial
Tree shrew,TNS2,0,0.807666494,0.389,0.224,0,endothelial
Tree shrew,SPTBN1-AS-4,0,0.805995436,0.242,0.061,0,endothelial
Tree shrew,BMP6li1,0,0.801669517,0.209,0.011,0,endothelial
Tree shrew,IRAK3,0,0.801021595,0.29,0.11,0,endothelial
Tree shrew,RAC1,0,0.797918024,0.562,0.425,0,endothelial
Tree shrew,SIAH1,0,0.796405484,0.308,0.164,0,endothelial
Tree shrew,TSPAN13,0,0.796121288,0.234,0.034,0,endothelial
Tree shrew,GLUD1,0,0.795471004,0.423,0.277,0,endothelial
Tree shrew,RUNX1T1,0,0.791759958,0.224,0.023,0,endothelial
Tree shrew,SYNE2,0,0.790879223,0.475,0.31,0,endothelial
Tree shrew,C1ORF21,0,0.790329039,0.44,0.302,0,endothelial
Tree shrew,TRIM25,0,0.789646397,0.34,0.155,0,endothelial
Tree shrew,CALR,0,0.787392779,0.652,0.521,0,endothelial
Tree shrew,HOOK3,0,0.786622959,0.543,0.425,0,endothelial
Tree shrew,NMUR1,0,0.783067285,0.209,0.009,0,endothelial
Tree shrew,IGFBP4,0,0.781354285,0.38,0.152,0,endothelial
Tree shrew,RAB10,0,0.777747521,0.576,0.469,0,endothelial
Tree shrew,NRXN1,0,0.77767248,0.198,0.022,0,endothelial
Tree shrew,MLRN,0,0.777089751,0.766,0.657,0,endothelial
Tree shrew,LATS2,0,0.776192123,0.347,0.159,0,endothelial
Tree shrew,CAMK2N1,0,0.775735269,0.413,0.145,0,endothelial
Tree shrew,TANC1,0,0.774339564,0.28,0.111,0,endothelial
Tree shrew,TFPI,0,0.774264855,0.287,0.045,0,endothelial
Tree shrew,MGLLli1,0,0.773497006,0.223,0.024,0,endothelial
Tree shrew,COMMD6li3,0,0.772127009,0.685,0.575,0,endothelial
Tree shrew,DTL,0,0.772125801,0.201,0.062,0,endothelial
Tree shrew,TFIP11,0,0.771653376,0.448,0.305,0,endothelial
Tree shrew,SIRPA,0,0.771120445,0.349,0.115,0,endothelial
Tree shrew,AKAP2,0,0.769691076,0.404,0.189,0,endothelial
Tree shrew,CTNNA1,0,0.768463654,0.412,0.276,0,endothelial
Tree shrew,PXN,0,0.767676269,0.288,0.093,0,endothelial
Tree shrew,MMRN2,0,0.764369961,0.213,0.012,0,endothelial
Tree shrew,BACE2,0,0.763467254,0.233,0.025,0,endothelial
Tree shrew,S100A11,0,0.762580696,0.306,0.097,0,endothelial
Tree shrew,SPATS2L,0,0.762189885,0.36,0.211,0,endothelial
Tree shrew,BCL2L1,0,0.761232497,0.312,0.153,0,endothelial
Tree shrew,EGR1,0,0.760917274,0.56,0.448,0,endothelial
Tree shrew,NECTIN2,0,0.759479576,0.327,0.157,0,endothelial
